image;AC-graph;PY-graph;PL-graph;FC-graph;AC-abr;PY-abr;BU-abr;PL-abr;FC-abr;Axis
compliant/1.webp;0;0;0;0;0;0;0;0;0;0
compliant/2.png;0;0;0;0;0;0;0;0;0;0
compliant/3.png;0;0;0;0;0;0;0;0;0;0
compliant/4.png;0;0;0;0;0;0;0;0;0;0
compliant/5.png;0;0;0;0;0;0;0;0;0;0
compliant/6.png;0;0;0;0;0;0;0;0;0;0
compliant/7.png;0;0;0;0;0;0;0;0;0;0
compliant/8.png;0;0;0;0;1;0;0;0;0;0
compliant/9.png;0;0;0;0;0;0;0;0;0;0
compliant/10.png;0;0;0;0;1;1;0;0;0;0
compliant/11.png;0;0;0;0;1;1;0;0;0;0
compliant/12.png;0;0;0;0;1;1;0;0;0;0
compliant/13.png;0;0;0;0;1;1;0;1;1;0
compliant/14.png;0;0;0;0;0;0;0;0;0;0
compliant/15.png;0;0;0;0;0;0;0;0;0;0
compliant/16.png;0;0;0;0;0;0;0;0;1;0
compliant/17.png;0;0;0;0;0;0;0;0;0;0
compliant/18.png;0;0;0;0;0;0;0;0;0;0
compliant/19.png;0;0;0;0;0;0;0;0;0;0
compliant/20.png;0;0;0;0;1;1;0;0;0;0
compliant/21.png;0;1;1;1;1;1;1;1;1;1
compliant/22.png;0;0;0;0;1;1;0;0;0;0
compliant/23.png;0;0;0;0;0;0;0;0;0;0
compliant/24.png;0;0;0;0;0;0;1;0;0;0
compliant/25.png;0;0;0;0;0;0;0;0;0;0
compliant/26.png;0;0;0;0;0;0;0;0;0;0
compliant/27.png;0;0;0;0;1;0;0;1;0;0
compliant/28.png;0;0;0;0;1;0;0;0;0;0
compliant/29.png;0;0;0;0;0;0;0;0;0;0
compliant/30.png;0;0;0;0;0;0;0;0;0;0
compliant/31.png;0;0;0;0;1;0;0;0;1;0
compliant/32.gif;0;0;0;0;0;0;0;0;0;0
compliant/33.jpg;0;0;0;0;1;0;0;0;0;0
compliant/34.png;0;0;0;0;0;0;0;0;0;0
compliant/35.png;0;0;0;0;0;0;0;0;0;0
compliant/36.png;0;0;0;0;0;0;0;0;0;0
compliant/37.png;0;0;0;0;0;0;0;0;0;0
compliant/38.png;0;0;0;0;0;0;0;0;0;0
compliant/39.png;0;0;0;0;0;0;0;0;0;0
compliant/40.png;0;0;0;0;0;0;0;0;0;0
non-compliant/1.png;1;0;0;0;1;0;0;0;0;0
non-compliant/2.png;1;0;0;0;1;0;0;0;0;0
non-compliant/3.png;1;0;0;0;1;0;0;0;0;0
non-compliant/4.png;1;0;0;0;1;0;0;0;0;0
non-compliant/5.png;1;0;0;0;1;0;0;0;0;0
non-compliant/6.png;1;0;0;0;1;0;0;0;0;0
non-compliant/7.png;1;0;0;0;1;0;0;0;0;0
non-compliant/8.png;1;0;0;0;1;0;0;0;0;0
non-compliant/9.png;1;1;0;0;1;1;0;0;0;0
non-compliant/10.png;1;0;0;0;1;0;0;0;0;0
non-compliant/11.png;1;1;0;0;1;1;0;0;0;0
non-compliant/12.png;1;0;1;0;1;0;0;1;0;0
non-compliant/13.png;1;0;0;0;1;0;0;0;0;0
non-compliant/14.png;0;0;0;0;0;0;0;0;0;0
non-compliant/15.png;1;0;0;0;1;0;0;0;0;0
non-compliant/16.png;1;0;0;0;1;0;0;0;0;0
non-compliant/17.png;1;0;0;0;1;0;0;0;0;0
non-compliant/18.png;1;0;0;0;1;0;0;0;0;0
non-compliant/19.png;1;0;0;0;1;0;0;0;0;0
non-compliant/20.png;1;0;0;0;1;0;0;0;0;0
non-compliant/21.png;1;0;1;0;1;0;1;0;0;0
non-compliant/22.png;1;0;1;0;1;0;1;0;0;0
non-compliant/23.png;1;0;1;0;1;0;0;1;0;0
non-compliant/24.png;1;0;1;0;1;0;0;1;0;0
non-compliant/25.png;1;0;0;0;1;0;0;0;0;0
non-compliant/26.png;1;0;0;0;1;0;0;0;0;0
non-compliant/27.png;1;1;0;0;1;1;0;0;0;0
non-compliant/28.png;1;1;0;0;1;1;0;0;0;0
non-compliant/29.png;1;0;1;0;1;0;0;1;0;0
non-compliant/30.png;1;1;0;0;1;0;0;0;0;0
non-compliant/31.png;1;0;1;0;1;0;0;1;0;0
non-compliant/32.png;1;0;1;0;1;0;0;1;0;0
non-compliant/33.png;1;0;1;0;1;0;0;1;0;0
non-compliant/34.png;1;0;0;0;1;0;0;0;0;0
non-compliant/35.png;0;0;0;0;0;0;0;0;0;0
non-compliant/36.png;1;0;0;0;1;0;0;0;0;0
non-compliant/37.png;1;0;0;0;1;0;0;0;0;0
non-compliant/38.png;1;0;0;0;1;0;0;0;0;0
non-compliant/39.png;1;1;0;0;1;1;0;0;0;0
non-compliant/40.png;1;0;0;0;1;0;0;0;0;0
